what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015041025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015041050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015042613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015050467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015050629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015050643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015280098
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1455015280118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015281967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455093250495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455093251675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455093253242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455093253273
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455093253522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455093254928
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1455093255079
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455093255125
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1455093255396
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1455093255529
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1455093255530
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1455093255531
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1455093255532
